Apple IIGS Tool Descriptions - Listing by Tool Call Number


Cal Set
Num Num  Set Name         Call Name           Description

Tool Locator

$01 $01  Tool Locator     _TLBootInit           Initializes Tool Locator and all other ROM-based tools sets - not called by application
$02 $01  Tool Locator     _TLStartUp            Starts up the Tool Locator for use by an application
$03 $01  Tool Locator     _TLShutDown           Shuts down the Tool Locator when an application quits
$04 $01  Tool Locator     _TLVersion            Returns the version number of the Tool Locator
$05 $01  Tool Locator     _TLReset              Resets the Tool Locator & all other ROM-based tool sets on system reset - not by appl.
$06 $01  Tool Locator     _TLStatus             Indicates whether Tool Locator is active
$09 $01  Tool Locator     _GetTSPtr             Returns the pointer to the function pointer table of a specified tool set
$0A $01  Tool Locator     _SetTSPtr             Installs the pointer to a function ptr table in the appropriate tool pointer table
$0B $01  Tool Locator     _GetFuncPtr           Returns entry in the function ptr table for a spec function in a specified tool set
$0C $01  Tool Locator     _GetWAP               Gets the pointer to the work area for a specified tool set
$0D $01  Tool Locator     _SetWAP               Sets the pointer to the work area for a specified tool set
$0E $01  Tool Locator     _LoadTools            Ensures that spec system tool sets are available & have specified minimum version numbers
$0F $01  Tool Locator     _LoadOneTool          Ensures that spec system tool set is available & has a spec minimum version number
$10 $01  Tool Locator     _UnloadOneTool        Unloads a specified tool set from memory
$11 $01  Tool Locator     _TLMountVolume        Displays on SHR screen a simulated dialog box to prompt user to mount a volume
$12 $01  Tool Locator     _TLTextMountVol       Displays on 40-column text screen a simulated dialog box to prompt user to mount volume
$13 $01  Tool Locator     _SaveTextState        Saves state of text scrn & forces hardware to display text scrn regardless of current mode
$14 $01  Tool Locator     _RestoreTextState     Restores state of text screen from a specified handle and disposes of the handle
$15 $01  Tool Locator     _MessageCenter        Allows applications to communicate with each other
$16 $01  Tool Locator     _SetDefaultTPT        Sets default Tool Pointer Table to current TPT - permanently installs tool patch (no appl)
$17 $01  Tool Locator     _MessageByName        Creates and associates a name with a new message
$18 $01  Tool Locator     _StartUpTools         Starts and loads the tools specified in the input StartStop record
$19 $01  Tool Locator     _ShutDownTools        Shuts down the tools specified in the input StartStop record
$1A $01  Tool Locator     _GetMsgHandle         Returns the handle to a messsage in the Message Center
$1B $01  Tool Locator     _AcceptRequests       Call AcceptRequests to notify the system that you can receive requests
$1C $01  Tool Locator     _SendRequest          Sends the specified request to zero or more qualifying registered request procedures

Memory Manager

$01 $02  Memory Manager   _MMBootInit           Called ONLY by the Tool Locator when Memory Manager is initialized
$02 $02  Memory Manager   _MMStartUp            Starts up the Memory Manager for use by an application
$03 $02  Memory Manager   _MMShutDown           Shuts down the Memory Manager when the application quits
$04 $02  Memory Manager   _MMVersion            Returns the version number of the Memory Manager
$05 $02  Memory Manager   _MMReset              Called ONLY when the system is Reset
$06 $02  Memory Manager   _MMStatus             Indicates whether or not the Memory Manager is active
